Unnamed: 0,DateTime,Home Team,Away Team,VERSUS,League,Home Goals RR,Away Goals RR,Home Corners RR,Away Corners RR,Home Shots RR,Away Shots RR,Home SOT RR,Away SOT RR,Home Fouls RR,Away Fouls RR,Home Corners H4H_W,Home Corners H4H_D,Home Corners H4H_L,Away Corners A4A_W,Away Corners A4A_D,Away Corners A4A_L,TE_Home H4H,TE_Awa y A4A,TE_Home H4H Baja,TE_Away A4A Baja,Bet For H4A,BET LINE,HW ODDS,DRW ODDS,AW ODDS,CNT CORNERS HW,CNT CORNERS HD,CNT CORNERS HL,CNT CORNERS AW,CNT CORNERS AD,CNT CORNERS AL,AVG H4H CORNERS GEN,AVG H4H CORNERS CONCEDED,AVG A4A CORNERS GEN,AVG A4A CORNERS CONCEDED,AVG H4H SHOTS,AVG H4H SOT,AVG H4H SHOTS OFF,AVG H4H FOULS WON,AVG A4A SHOTS,AVG A4A SOT,AVG A4A SHOTS OFF,AVG A4A FOULS WON,Home HT Goals RR,Away HT Goals RR
0,2024-01-03 16:00:00,Granada CF,CÃ¡diz,Granada CF VS. CÃ¡diz,Spain Primera Liga,1.1954528,1.1952064,4.4252186,4.021877,11.60372,8.882733,5.1340876,4.8115172,11.277055,11.107518,5.0,2.0,4.5,0.0,3.5,3.0,0.6666666666666666,0.6666666666666666,0.8333333333333334,0.8333333333333334,9,8.5,2.23,3.15,3.4,1,4,4,0,4,5,3.5,6.0,3.0,5.5,11.0,6.0,5.0,12.0,17.0,8.0,7.0,14.0,0.90109354,0.7443449
1,2024-01-03 17:00:00,Atalanta,Sassuolo,Atalanta VS. Sassuolo,Coppa de Italia,1.7961435,1.3293008,5.251882,3.2856898,13.254434,9.576664,7.358992,5.027583,10.695008,11.595103,7.0,5.0,5.5,5.5,8.0,4.0,0.5,0.8333333333333334,0.6666666666666666,0.8333333333333334,11,10.5,1.45,4.8,6.25,6,1,2,2,2,5,6.0,4.0,4.5,6.0,12.0,7.0,5.0,11.0,14.0,7.0,8.0,9.0,0.271075,0.9705236
2,2024-01-03 18:15:00,Celta de Vigo,Real Betis,Celta de Vigo VS. Real Betis,Spain Primera Liga,0.56403124,1.368285,4.3279057,4.4152226,14.341831,7.5112314,6.130272,4.4283366,14.284441,13.210467,7.0,8.0,7.0,4.0,6.5,4.0,0.8333333333333334,0.6666666666666666,0.8333333333333334,0.8333333333333334,10,9.5,2.43,3.3,2.88,1,4,4,1,6,2,7.0,3.0,6.5,4.5,12.0,5.0,7.0,14.0,12.0,6.0,6.0,11.0,0.26890156,0.6113946
3,2024-01-03 18:15:00,Real Madrid,RCD Mallorca,Real Madrid VS. RCD Mallorca,Spain Primera Liga,2.037224,0.5059554,10.493818,2.6295273,13.873013,7.150798,5.872113,3.0768592,12.40896,15.306601,5.5,11.0,0.0,1.0,4.0,3.0,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.3333333333333333,8,9.5,1.21,6.1,13.0,6,1,0,1,3,5,6.5,1.5,3.5,5.5,14.5,9.5,5.5,13.0,14.0,5.0,9.0,16.0,0.96988106,0.16502108
4,2024-01-03 20:00:00,Roma,Cremonese,Roma VS. Cremonese,Coppa de Italia,1.4749012,0.5536764,5.479399,3.9723964,10.71587,8.297665,5.202621,4.7561483,12.960036,12.006082,6.0,5.0,3.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0,9.5,1.4,4.6,7.6,6,2,1,0,0,0,6.0,2.5,0.0,0.0,11.0,5.0,6.0,11.0,0.0,0.0,0.0,0.0,0.78421265,0.18567388
5,2024-01-03 20:30:00,Girona FC,AtlÃ©tico Madrid,Girona FC VS. AtlÃ©tico Madrid,Spain Primera Liga,1.5653477,1.3271253,5.937603,3.5369225,11.168927,8.948015,4.8147492,5.406444,11.664228,10.109748,4.5,2.0,1.0,3.0,7.0,5.5,0.3333333333333333,0.5,0.3333333333333333,0.8333333333333334,8,9.5,2.6,3.45,2.6,6,1,1,3,1,4,3.0,3.0,4.5,6.0,11.0,6.0,6.0,11.0,10.5,4.0,7.5,9.5,0.7445085,0.512605
6,2024-01-04 08:45:00,Adelaide United,Wellington Phoenix,Adelaide United VS. Wellington Phoenix,Liga Australia,1.3049376,1.6393944,7.25502,5.201513,13.254333,8.038037,7.743866,5.597539,8.73036,7.46969,6.0,0.0,10.5,6.0,1.0,1.0,0.6,1.0,0.8,1.0,12,10.5,1.87,3.8,3.4,3,0,2,2,2,1,7.0,6.0,2.0,12.0,14.0,8.0,6.0,6.0,13.0,8.0,5.0,9.0,0.43526825,0.8263678
7,2024-01-04 16:00:00,CA Osasuna,AlmerÃ­a,CA Osasuna VS. AlmerÃ­a,Spain Primera Liga,1.9173849,1.5754602,5.1087713,3.2901843,14.096931,8.423807,5.686972,4.85203,11.853729,10.331418,5.0,7.0,6.0,0.0,3.0,6.0,0.3333333333333333,0.6666666666666666,0.8333333333333334,0.8333333333333334,9,9.5,1.65,3.85,5.1,2,3,4,0,1,6,4.5,5.0,6.0,7.5,10.0,4.0,5.0,13.0,15.0,6.0,7.0,9.0,0.9340283,0.85272837
8,2024-01-04 18:15:00,Sevilla FC,Athletic Club Bilbao,Sevilla FC VS. Athletic Club Bilbao,Spain Primera Liga,1.416963,1.0842676,7.6954412,3.2409632,11.056602,10.986613,5.296624,5.865329,11.999002,14.020509,8.0,8.5,6.0,3.0,6.0,7.0,0.8333333333333334,0.5,0.8333333333333334,0.6666666666666666,9,9.5,3.1,3.2,2.35,2,4,3,3,3,2,8.5,4.0,6.5,3.5,14.0,5.0,8.0,16.0,12.0,6.0,4.5,15.5,0.18877251,0.48309782
9,2024-01-04 20:00:00,Juventus,Salernitana,Juventus VS. Salernitana,Coppa de Italia,1.4578555,0.42904952,5.750624,2.6544683,12.835336,8.303379,5.586562,4.1245155,10.891501,11.833867,5.0,3.5,0.0,6.0,0.5,3.5,0.3333333333333333,0.6666666666666666,0.5,0.6666666666666666,7,9.5,1.27,5.85,10.0,6,2,0,1,2,6,4.0,2.5,4.0,7.0,11.0,5.0,7.0,12.0,12.0,7.0,5.0,12.0,0.47533122,0.25705513
