Bet365_Names;Team (Dataset);Record ID;;;;
Fulham;Fulham;1;;;;
Crystal Palace;Crystal Palace;2;;;;
Liverpool;Liverpool;3;;;;
West Ham;West Ham United;4;;;;
West Bromwich;West Bromwich Albion;5;;;;
Tottenham;Tottenham Hotspur;6;;;;
Brighton;Brighton & Hove Albion;7;;;;
Sheffield United;Sheffield United;8;;;;
Everton;Everton;9;;;;
Leeds United;Leeds United;10;;;;
Manchester United;Manchester United;11;;;;
Arsenal;Arsenal;12;;;;
Southampton;Southampton;13;;;;
Newcastle;Newcastle United;14;;;;
Chelsea;Chelsea;15;;;;
Leicester City;Leicester City;16;;;;
Aston Villa;Aston Villa;17;;;;
Wolves;Wolverhampton Wanderers;18;;;;
Burnley;Burnley;19;;;;
Manchester City;Manchester City;20;;;;
Watford;Watford;21;;;;
Birmingham;Birmingham City;22;;;;
Wycombe Wanderers;Wycombe Wanderers;23;;;;
Barnsley;Barnsley;24;;;;
Bournemouth;AFC Bournemouth;25;;;;
Bristol City;Bristol City;26;;;;
Cardiff City;Cardiff City;27;;;;
Derby County;Derby County;28;;;;
Huddersfield Town;Huddersfield Town;29;;;;
Millwall;Millwall;30;;;;
Preston North End;Preston North End;31;;;;
Queens Park Rangers;Queens Park Rangers;32;;;;
Coventry City;Coventry City;33;;;;
Nottingham Forest;Nottingham Forest;34;;;;
Blackburn Rovers;Blackburn Rovers;35;;;;
Brentford;Brentford;36;;;;
Luton Town;Luton Town;37;;;;
Middlesbrough;Middlesbrough;38;;;;
Norwich City;Norwich City;39;;;;
Reading;Reading;40;;;;
Rotherham United;Rotherham United;41;;;;
Sheffield Wednesday;Sheffield Wednesday;42;;;;
Swansea City;Swansea City;43;;;;
Stoke City;Stoke City;44;;;;
Accrington Stanley;Accrington Stanley;45;;;;
Crewe Alexandra;Crewe Alexandra;46;;;;
Doncaster Rovers;Doncaster Rovers;47;;;;
Fleetwood Town;Fleetwood Town;48;;;;
Gillingham;Gillingham;49;;;;
Lincoln City;Lincoln City;50;;;;
Northampton Town;Northampton Town;51;;;;
Plymouth Argyle;Plymouth Argyle;52;;;;
Portsmouth;Portsmouth;53;;;;
Sunderland;Sunderland;54;;;;
Swindon Town;Swindon Town;55;;;;
Ipswich Town;Ipswich Town;56;;;;
AFC Wimbledon;AFC Wimbledon;57;;;;
Blackpool;Blackpool;58;;;;
Bristol Rovers;Bristol Rovers;59;;;;
Burton Albion;Burton Albion;60;;;;
Charlton Athletic;Charlton Athletic;61;;;;
Hull City;Hull City;62;;;;
Milton Keynes Dons;Milton Keynes Dons;63;;;;
Oxford United;Oxford United;64;;;;
Peterborough United;Peterborough United;65;;;;
Shrewsbury Town;Shrewsbury Town;66;;;;
Wigan Athletic;Wigan Athletic;67;;;;
Rochdale;Rochdale;68;;;;
Barrow;Barrow;69;;;;
Bolton;Bolton Wanderers;70;;;;
Bradford City;Bradford City;71;;;;
Cambridge United;Cambridge United;72;;;;
Cheltenham;Cheltenham Town;73;;;;
Mansfield Town;Mansfield Town;74;;;;
Oldham Athletic;Oldham Athletic;75;;;;
