Unnamed: 0,DateTime,Home Team,Away Team,VERSUS,League,Home Goals RR,Away Goals RR,Home Corners RR,Away Corners RR,Home Shots RR,Away Shots RR,Home SOT RR,Away SOT RR,Home Fouls RR,Away Fouls RR,Home Corners H4H_W,Home Corners H4H_D,Home Corners H4H_L,Away Corners A4A_W,Away Corners A4A_D,Away Corners A4A_L,TE_Home H4H,TE_Awa y A4A,TE_Home H4H Baja,TE_Away A4A Baja,Bet For H4A,BET LINE,HW ODDS,DRW ODDS,AW ODDS,CNT CORNERS HW,CNT CORNERS HD,CNT CORNERS HL,CNT CORNERS AW,CNT CORNERS AD,CNT CORNERS AL,AVG H4H CORNERS GEN,AVG H4H CORNERS CONCEDED,AVG A4A CORNERS GEN,AVG A4A CORNERS CONCEDED,AVG H4H SHOTS,AVG H4H SOT,AVG H4H SHOTS OFF,AVG H4H FOULS WON,AVG A4A SHOTS,AVG A4A SOT,AVG A4A SHOTS OFF,AVG A4A FOULS WON,Home HT Goals RR,Away HT Goals RR
0,2024-10-18 08:35:00,Central Coast Mariners,Melbourne Victory FC,Central Coast Mariners VS. Melbourne Victory FC,A-League,1.5629697,1.2781512,4.339553,5.5101414,13.4402895,12.492101,5.7905507,5.276082,10.652415,11.373739,4.0,5.0,6.0,6.0,7.5,5.0,0.25,0.625,0.375,0.625,11,11.5,2.4,3.2,2.85,8,3,3,5,8,3,4.0,5.0,6.0,4.5,13.5,6.0,8.0,13.0,12.5,5.5,7.0,11.0,0.72619873,0.57005906
1,2024-10-18 16:30:00,Darmstadt 98,Köln,Darmstadt 98 VS. Köln,Germany Bundesliga 2,1.5327743,1.4065326,4.2065234,5.5384574,13.26744,11.932481,5.764773,5.119323,10.871826,11.153101,2.0,4.0,3.0,4.5,5.0,4.5,0.75,0.75,0.75,0.875,10,10.5,3.65,4.1,1.79,1,5,8,2,8,8,2.5,5.0,6.0,5.5,11.0,5.0,5.0,12.0,13.0,6.0,6.0,12.0,0.72619873,0.6509431
2,2024-10-18 16:30:00,Hertha BSC,Eintracht Braunschweig,Hertha BSC VS. Eintracht Braunschweig,Germany Bundesliga 2,1.7163048,1.6208612,4.338097,5.556883,13.543676,12.927983,5.9473143,5.4672613,10.904456,10.801726,4.5,4.5,6.0,2.5,6.0,4.0,0.25,0.375,0.5,0.5,9,10.5,1.73,3.95,4.1,8,6,6,4,2,8,5.0,5.0,2.5,4.5,12.0,7.0,4.0,8.0,13.0,7.0,6.0,9.0,0.7214392,0.73972845
3,2024-10-18 17:00:00,Örgryte,Sandviken,Örgryte VS. Sandviken,Superettan,2.4409304,1.1914127,5.0268517,3.803476,13.813825,12.171239,7.2813535,5.812839,4.459079,7.656534,4.0,7.0,6.0,4.0,3.0,4.0,0.125,0.125,0.125,0.125,8,11.5,2.75,3.7,2.2,5,3,5,3,5,5,5.0,4.0,4.0,5.0,14.0,7.0,9.0,9.0,11.0,5.0,4.0,-1.0,1.3198408,0.41657847
4,2024-10-18 17:00:00,København,Vejle,København VS. Vejle,Superligaen,1.8948339,1.3997173,6.051915,4.8292775,15.827751,12.040658,6.403047,5.0702486,10.315923,10.757854,5.5,7.0,7.0,4.0,4.0,4.5,0.25,0.625,0.375,0.75,10,10.5,1.18,6.25,11.5,8,4,5,3,5,8,5.5,4.0,4.5,8.0,15.0,7.0,8.0,9.0,13.0,6.0,6.0,12.0,0.9193451,0.6412779
5,2024-10-18 18:00:00,Oss,Telstar,Oss VS. Telstar,Netherlands Eerste Divisie,1.5173787,1.5772558,4.338097,5.6572833,12.425816,12.254848,5.619579,5.4507885,11.185134,11.101648,4.0,12.0,4.0,4.5,4.0,5.5,0.5,0.625,0.5,0.625,10,10.5,3.6,3.55,1.9,8,1,8,4,5,8,5.5,3.0,5.5,4.5,11.0,5.0,5.0,11.0,13.0,6.0,5.0,13.0,0.5999688,0.8049742
6,2024-10-18 18:00:00,Eindhoven,Emmen,Eindhoven VS. Emmen,Netherlands Eerste Divisie,1.5936754,1.334821,4.13375,5.5453916,13.543676,11.708104,5.8339043,5.2991123,10.73163,11.025576,3.5,3.5,5.0,5.0,3.0,3.5,0.5,0.5,0.5,0.75,10,10.5,2.6,3.25,2.5,4,8,8,8,4,8,4.0,4.5,5.0,5.5,11.0,5.5,5.0,11.0,11.0,6.0,5.0,11.0,0.73606414,0.5889982
7,2024-10-18 18:00:00,Excelsior,MVV,Excelsior VS. MVV,Netherlands Eerste Divisie,1.5327743,1.248066,4.3230867,5.5384574,13.331428,11.811218,5.7235317,5.1788745,10.752477,11.153101,5.5,4.0,2.0,4.0,5.5,2.5,0.625,0.375,0.75,0.375,7,9.5,1.41,4.8,5.8,8,7,6,8,6,8,5.0,4.0,3.0,4.0,12.0,6.0,6.0,10.0,15.0,6.0,7.5,11.0,0.7172908,0.5281126
8,2024-10-18 18:00:00,VVV,Dordrecht,VVV VS. Dordrecht,Netherlands Eerste Divisie,1.5773063,1.491523,5.7931347,5.087384,13.832388,12.0146885,6.018008,5.099167,10.93365,10.347756,5.5,4.5,4.0,5.0,3.5,5.0,0.875,0.75,1.0,0.75,11,9.5,2.43,3.5,2.55,8,4,8,8,8,6,6.5,5.5,7.0,5.5,12.0,7.0,5.0,12.0,14.0,6.0,7.0,12.0,0.6044845,0.58789694
9,2024-10-18 18:00:00,Den Bosch,Vitesse,Den Bosch VS. Vitesse,Netherlands Eerste Divisie,1.8427595,1.4327707,6.051915,5.087384,14.547228,11.629282,6.665098,5.2610116,10.555708,10.700639,5.5,5.0,6.0,4.5,9.0,4.5,0.625,0.5,0.75,0.5,11,10.5,2.08,3.55,3.05,6,8,8,6,1,8,5.5,5.5,4.0,6.5,10.0,5.0,4.5,10.5,14.0,8.0,5.0,11.0,0.92710435,0.54637384
10,2024-10-18 18:00:00,ADO Den Haag,Roda JC,ADO Den Haag VS. Roda JC,Netherlands Eerste Divisie,1.4255002,1.1737443,6.2279553,4.8421674,15.931775,10.102845,6.8464627,4.8610816,12.461889,10.770664,5.5,6.5,4.0,4.0,4.5,6.0,0.5,0.625,0.5,0.625,8,9.5,1.73,3.8,4.0,8,8,5,8,8,4,6.0,2.5,3.5,5.0,12.0,6.0,6.0,11.0,11.0,6.0,6.0,11.0,0.75750667,0.41523218
