Unnamed: 0,DateTime,Home Team,Away Team,VERSUS,League,Home Goals RR,Away Goals RR,Home Corners RR,Away Corners RR,Home Shots RR,Away Shots RR,Home SOT RR,Away SOT RR,Home Fouls RR,Away Fouls RR,Home Corners H4H_W,Home Corners H4H_D,Home Corners H4H_L,Away Corners A4A_W,Away Corners A4A_D,Away Corners A4A_L,TE_Home H4H,TE_Awa y A4A,TE_Home H4H Baja,TE_Away A4A Baja,Bet For H4A,BET LINE,HW ODDS,DRW ODDS,AW ODDS,CNT CORNERS HW,CNT CORNERS HD,CNT CORNERS HL,CNT CORNERS AW,CNT CORNERS AD,CNT CORNERS AL,AVG H4H CORNERS GEN,AVG H4H CORNERS CONCEDED,AVG A4A CORNERS GEN,AVG A4A CORNERS CONCEDED,AVG H4H SHOTS,AVG H4H SOT,AVG H4H SHOTS OFF,AVG H4H FOULS WON,AVG A4A SHOTS,AVG A4A SOT,AVG A4A SHOTS OFF,AVG A4A FOULS WON,Home HT Goals RR,Away HT Goals RR
0,2024-07-27 00:30:00,Ituano,Vila Nova,Ituano VS. Vila Nova,Brasileirao Serie B,1.3016566,1.109572,3.8838413,5.481187,12.047243,11.171076,5.702268,4.6696167,13.364406,12.131101,1.0,4.0,5.0,4.0,2.5,5.0,0.5555555555555556,0.625,0.6666666666666666,0.625,11,11.5,3.25,2.95,2.33,3,2,4,1,2,5,2.0,9.0,4.0,7.0,11.0,4.0,7.0,13.0,14.5,6.0,7.0,12.0,0.59934664,0.42315128
1,2024-07-27 10:00:00,Albirex Niigata S,Tampines Rovers,Albirex Niigata S VS. Tampines Rovers,Singapore,1.711632,2.6796048,2.8549874,2.3335643,9.523753,15.206636,5.606449,8.042871,9.209816,8.540598,1.5,0.0,3.5,9.0,8.0,0.0,0.0,0.75,0.25,1.0,6,10.5,6.15,7.45,1.23,2,0,2,3,1,0,1.5,3.5,8.5,4.0,8.0,4.0,4.0,8.5,12.0,6.0,7.0,8.5,0.9830952,0.91914564
2,2024-07-27 10:00:00,DPMM FC,Young Lions,DPMM FC VS. Young Lions,Singapore,2.3302834,0.91522074,3.9115148,8.539305,12.234371,9.859522,6.4347258,4.8398747,10.081263,10.632169,0.0,1.0,3.0,0.0,2.0,5.0,0.3333333333333333,0.5,0.3333333333333333,0.75,10,10.5,2.0,3.85,2.85,0,2,1,0,1,3,1.0,7.0,3.5,7.5,8.0,4.0,5.0,8.0,19.5,9.0,10.5,13.0,0.6898394,0.2754566
3,2024-07-27 11:00:00,Utsikten,Sandviken,Utsikten VS. Sandviken,Superettan,1.8454925,1.1764822,6.2404137,3.6928196,11.28722,12.02676,5.5297036,4.98674,8.681513,8.447899,9.0,3.5,8.0,4.5,4.0,5.0,0.7142857142857143,0.5,1.0,0.5,10,10.5,2.43,3.5,2.55,3,2,2,2,3,3,6.0,7.0,4.5,4.5,11.0,5.0,5.0,8.0,10.5,6.0,5.5,8.0,0.6973886,0.45075276
4,2024-07-27 13:00:00,NorrkÃ¶ping,Kalmar,NorrkÃ¶ping VS. Kalmar,Allsvenskan,1.5533605,1.8145576,7.1794357,3.729394,12.26227,9.762574,5.5847898,4.443794,11.023594,11.356892,4.0,0.0,6.5,4.0,0.0,2.0,0.4285714285714285,0.5714285714285714,0.7142857142857143,0.7142857142857143,11,10.5,2.12,3.55,2.9,3,0,4,3,0,4,5.0,5.0,4.0,8.0,10.0,6.0,4.0,10.0,12.0,5.0,7.0,11.0,1.1076294,0.64578867
5,2024-07-27 13:00:00,Östersunds FK,Varberg,Östersunds FK VS. Varberg,Superettan,1.2296253,1.2855557,4.001256,6.112713,10.685273,7.796876,5.816085,3.4222953,1.7962245,2.8205826,8.0,7.0,4.0,6.0,7.0,2.5,0.5714285714285714,0.5714285714285714,0.7142857142857143,0.5714285714285714,10,10.5,1.83,3.65,3.7,4,2,1,1,2,4,8.0,5.0,4.0,6.0,12.0,5.0,6.0,-1.0,14.0,5.0,6.0,14.0,0.7732736,0.07657658
6,2024-07-27 13:00:00,Degerfors,Skövde AIK,Degerfors VS. Skövde AIK,Superettan,1.7878338,0.7704414,7.4741693,3.729394,11.572411,9.227537,5.8812823,4.5668755,7.553447,9.330687,7.0,9.0,11.0,2.0,5.0,3.0,0.7142857142857143,0.2857142857142857,0.7142857142857143,0.4285714285714285,8,10.5,1.4,4.4,6.75,5,1,1,2,1,4,7.0,4.0,3.0,4.0,14.0,8.0,6.0,-1.0,16.0,8.0,8.0,11.0,0.6831289,0.35329852
7,2024-07-27 14:00:00,SJK,Lahti,SJK VS. Lahti,Veikkausliiga,1.6510178,1.1370792,6.406602,3.73929,13.28882,9.933282,5.7877474,4.0536723,12.322745,11.292814,5.0,7.5,9.0,0.0,3.0,2.0,0.625,0.25,0.875,0.375,9,10.5,1.35,4.9,7.5,5,2,1,0,3,5,5.5,5.0,3.0,6.0,14.5,5.0,9.0,13.0,16.5,6.5,8.0,9.5,0.62969345,0.49713716
8,2024-07-27 14:00:00,MjÃ¸ndalen,Lyn,MjÃ¸ndalen VS. Lyn,OBOS-ligaen,1.4693563,1.4810753,3.9185462,5.350826,12.1556225,10.500367,5.1835375,5.155022,10.169308,11.194012,6.0,3.5,5.5,7.0,6.0,8.0,0.2,0.5714285714285714,0.4,0.5714285714285714,8,10.5,3.25,3.45,2.05,5,4,6,2,2,3,7.0,2.5,7.0,6.0,8.0,4.0,4.0,11.0,11.0,7.0,4.0,10.0,0.40321153,0.74040085
9,2024-07-27 14:00:00,Stabæk,Moss,Stabæk VS. Moss,OBOS-ligaen,1.640001,1.394599,3.9300423,5.2707086,10.399109,10.9212885,5.7302074,5.7043,9.476995,10.864475,4.5,7.0,5.0,5.0,5.0,5.0,0.5,0.3,0.6666666666666666,0.4,9,10.5,1.89,3.9,3.3,4,1,1,4,7,10,5.0,5.0,4.5,4.0,14.0,7.5,6.5,14.5,10.0,5.0,5.0,11.0,0.59301746,0.4436459
