Unnamed: 0,DateTime,Home Team,Away Team,VERSUS,League,Home Goals RR,Away Goals RR,Home Corners RR,Away Corners RR,Home Shots RR,Away Shots RR,Home SOT RR,Away SOT RR,Home Fouls RR,Away Fouls RR,Home Corners H4H_W,Home Corners H4H_D,Home Corners H4H_L,Away Corners A4A_W,Away Corners A4A_D,Away Corners A4A_L,TE_Home H4H,TE_Awa y A4A,TE_Home H4H Baja,TE_Away A4A Baja,Bet For H4A,BET LINE,HW ODDS,DRW ODDS,AW ODDS,CNT CORNERS HW,CNT CORNERS HD,CNT CORNERS HL,CNT CORNERS AW,CNT CORNERS AD,CNT CORNERS AL,AVG H4H CORNERS GEN,AVG H4H CORNERS CONCEDED,AVG A4A CORNERS GEN,AVG A4A CORNERS CONCEDED,AVG H4H SHOTS,AVG H4H SOT,AVG H4H SHOTS OFF,AVG H4H FOULS WON,AVG A4A SHOTS,AVG A4A SOT,AVG A4A SHOTS OFF,AVG A4A FOULS WON,Home HT Goals RR,Away HT Goals RR
0,2023-12-23 04:30:00,Wellington Phoenix,Western Sydney Wanderers,Wellington Phoenix VS. Western Sydney Wanderers,Liga Australia,1.6025382,1.3287622,4.137304,7.037612,11.9163265,10.001007,6.137949,4.936613,9.752956,9.775232,3.0,2.5,8.0,3.0,3.0,5.0,0.3333333333333333,0.3333333333333333,0.5,0.3333333333333333,9,10.5,2.43,3.5,2.5,6,4,3,4,6,3,3.0,5.0,4.0,6.0,11.0,6.0,6.0,13.0,11.5,6.0,6.0,14.5,0.89559376,0.4088786
1,2023-12-23 06:30:00,Sydney FC,Western United,Sydney FC VS. Western United,Liga Australia,1.2294595,1.1358409,5.793337,2.6340458,11.935735,9.325913,6.455885,4.66021,10.509797,10.989628,5.5,6.0,7.5,3.5,7.0,5.5,0.5,0.1666666666666666,0.5,0.3333333333333333,8,11.5,1.58,4.1,4.5,4,2,6,4,1,6,8.0,2.5,4.0,5.0,14.5,6.5,8.5,12.0,15.0,8.0,7.0,10.0,0.8365654,0.38554588
2,2023-12-23 08:45:00,Melbourne City FC,Melbourne Victory FC,Melbourne City FC VS. Melbourne Victory FC,Liga Australia,1.3669536,1.7815562,6.7038956,3.8633506,11.604272,10.743171,6.155287,6.264753,10.634946,10.398673,5.5,7.5,2.0,4.0,9.5,5.5,0.3333333333333333,0.5,0.3333333333333333,0.6666666666666666,9,10.5,2.23,3.65,2.7,6,4,1,4,4,6,5.5,4.0,6.5,4.5,16.0,8.0,8.0,10.0,11.5,5.5,6.5,13.0,0.66565895,0.49601427
3,2023-12-23 10:30:00,Sivasspor,Ä°stanbulspor,Sivasspor VS. Ä°stanbulspor,Turkey Super Lig,1.8108499,0.33909774,5.26312,4.5602736,11.123989,7.292881,5.883967,2.7061539,12.779605,10.683107,0.0,5.0,6.0,0.0,2.0,4.5,0.5,0.5,0.5,0.6666666666666666,10,9.5,1.65,3.8,4.35,0,5,2,0,1,6,5.0,5.0,4.5,6.5,14.0,10.0,5.0,11.0,12.0,5.0,6.0,10.0,0.6089634,0.18919858
4,2023-12-23 11:30:00,Perth Glory FC,Macarthur,Perth Glory FC VS. Macarthur,Liga Australia,1.5415052,1.4936903,5.417596,4.8614964,11.387336,11.040033,6.3975477,5.45794,10.3903,10.398673,5.5,5.0,5.5,4.0,4.0,6.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,13,11.5,2.33,3.7,2.55,6,5,2,4,3,6,4.5,10.0,4.5,8.5,13.0,6.0,5.0,11.0,14.0,7.0,8.0,11.0,0.66905916,0.45992154
5,2023-12-23 11:30:00,Frosinone,Juventus,Frosinone VS. Juventus,Italy Serie A,1.349289,1.1605815,4.4327755,6.500756,11.906626,9.353255,4.780343,4.84165,9.793714,10.700472,4.0,5.5,4.0,3.0,5.0,3.0,0.6666666666666666,0.5,0.6666666666666666,0.8333333333333334,10,9.5,6.1,3.95,1.56,5,2,1,5,2,1,4.5,5.0,3.0,6.0,9.5,6.0,3.5,11.5,11.5,3.5,7.0,12.5,0.59877187,0.57558703
6,2023-12-23 12:30:00,Leeds United,Ipswich Town,Leeds United VS. Ipswich Town,England Championship,1.3805726,1.2576395,6.4149384,2.8314924,11.759307,8.701633,4.780343,4.5679646,9.921387,9.174638,6.5,6.0,0.0,3.0,8.0,5.0,0.5,0.5,0.6666666666666666,0.6666666666666666,10,9.5,1.75,4.1,3.9,6,4,0,6,3,1,6.5,4.0,4.5,5.5,14.0,7.0,6.0,10.0,8.0,4.0,4.0,11.0,0.7998982,0.5889214
7,2023-12-23 12:30:00,West Ham United,Manchester United,West Ham United VS. Manchester United,English Premier League,1.5045832,1.4433905,5.130977,4.154977,11.351557,10.4606,5.7425103,5.6506543,10.677101,10.499868,6.5,3.0,4.0,4.5,0.0,3.0,0.5,0.6666666666666666,0.5,0.8333333333333334,8,10.5,2.55,3.5,2.55,4,2,2,4,1,3,5.0,3.5,4.0,8.0,10.0,4.5,4.0,11.5,13.5,6.5,7.5,9.5,0.8502957,0.5179934
8,2023-12-23 13:00:00,Fatih KaragÃ¼mrÃ¼k,Gaziantep,Fatih KaragÃ¼mrÃ¼k VS. Gaziantep,Turkey Super Lig,1.4309093,1.1492755,3.9033666,6.3471594,12.259915,11.310957,5.62239,4.8651505,12.86703,10.804452,5.0,3.0,6.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0,9.5,1.94,3.4,3.45,3,3,2,0,0,0,5.0,3.5,0.0,0.0,9.0,5.5,3.5,11.0,0.0,0.0,0.0,0.0,0.59488124,0.57558703
9,2023-12-23 13:00:00,AZ II,ADO Den Haag,AZ II VS. ADO Den Haag,Holanda 2,2.1877928,1.7401778,5.8393826,4.3410735,9.378315,11.242333,6.0209804,6.950249,11.603045,12.808914,2.5,3.5,1.5,3.0,7.0,5.0,0.0,0.6666666666666666,0.1666666666666666,0.6666666666666666,7,9.5,3.0,3.4,2.12,6,2,2,5,4,1,2.0,4.5,6.0,3.5,10.0,5.5,3.5,11.5,8.5,5.0,4.0,10.0,1.2601936,0.715905
